 ,Area,Mean,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,207,255,75.154,0.461,21.190,251,33,19.290,18.190,1.252,0.799,0.745
2,833,255,134.610,0.578,39.699,173,19,130.914,33.000,1.054,0.948,0.890
3,1036,255,177.279,0.414,49.406,451,27,144.058,37.130,1.456,0.687,0.802
4,93,255,46.527,0.540,16.155,299,50,21.801,9.654,1.771,0.565,0.795
5,125,255,53.355,0.552,18.248,497,44,99.462,10.822,1.655,0.604,0.831
6,59,255,31.213,0.761,11.705,319,59,70.017,8.000,1.437,0.696,0.874
7,93,255,38.142,0.803,13.601,322,72,143.973,10.000,1.033,0.968,0.916
8,58,255,36.870,0.536,13.038,170,85,32.471,8.485,1.455,0.687,0.734
9,58,255,38.870,0.482,13.342,354,83,12.995,9.000,1.250,0.800,0.690
10,53,255,31.456,0.673,11.180,176,88,26.565,8.497,1.236,0.809,0.746
11,96,255,36.527,0.904,13.342,526,91,102.995,11.314,1.134,0.882,0.865
12,87,255,46.870,0.498,14.866,188,110,42.274,11.371,1.371,0.729,0.777
13,242,255,82.083,0.451,25.080,144,134,23.499,15.000,1.784,0.561,0.797
14,104,255,55.698,0.421,16.279,168,123,137.490,11.455,1.149,0.870,0.803
15,51,255,36.042,0.493,11.402,134,128,142.125,9.000,1.191,0.840,0.785
16,51,255,32.627,0.602,12.369,403,137,165.964,6.905,1.852,0.540,0.785
17,415,255,99.054,0.532,30.480,424,158,41.009,21.630,1.248,0.801,0.849
18,115,255,47.698,0.635,17.889,449,137,116.565,12.000,1.411,0.709,0.842
19,133,255,62.770,0.424,22.204,295,171,82.235,11.344,2.345,0.426,0.725
20,96,255,43.113,0.649,13.601,410,159,17.103,11.885,1.337,0.748,0.790
21,570,255,118.953,0.506,36.069,432,180,46.123,28.605,1.198,0.835,0.804
22,227,255,68.426,0.609,21.401,422,175,37.405,16.769,1.234,0.810,0.838
23,62,255,37.799,0.545,15.811,333,179,55.305,7.779,2.435,0.411,0.775
24,63,255,39.698,0.502,13.454,144,169,138.013,9.799,1.185,0.844,0.708
25,374,255,81.598,0.706,27.313,439,182,156.251,22.451,1.219,0.820,0.896
26,105,255,53.941,0.453,17.263,308,191,100.008,10.412,1.777,0.563,0.745
27,52,255,39.456,0.420,13.601,128,218,72.897,8.000,1.731,0.578,0.650
28,125,255,60.770,0.425,17.889,412,217,153.435,11.884,1.531,0.653,0.791
29,445,255,89.640,0.696,30.364,406,260,72.759,23.253,1.200,0.833,0.847
30,57,255,32.385,0.683,10.770,173,232,111.801,8.000,1.190,0.840,0.844
31,366,255,93.196,0.530,33.015,159,261,35.134,15.556,2.171,0.461,0.848
32,394,255,105.882,0.442,31.906,250,244,122.196,24.891,1.248,0.801,0.768
33,265,255,70.770,0.665,25.495,326,247,131.820,17.059,1.560,0.641,0.819
34,462,255,97.640,0.609,32.202,420,246,126.158,22.466,1.334,0.750,0.852
35,431,255,108.610,0.459,35.128,183,291,85.101,23.082,1.388,0.720,0.806
36,1376,255,195.078,0.454,53.852,189,290,15.068,42.754,1.047,0.955,0.790
37,971,255,144.995,0.580,44.407,307,314,35.838,33.474,1.291,0.775,0.870
38,116,255,45.355,0.709,15.133,193,300,172.405,12.021,1.167,0.857,0.835
39,664,255,141.581,0.416,42.202,401,341,76.293,30.674,1.471,0.680,0.767
40,166,255,58.669,0.606,18.974,201,313,18.435,14.527,1.125,0.889,0.828
41,59,255,36.284,0.563,12.166,219,312,9.462,8.944,1.317,0.759,0.756
42,524,255,108.711,0.557,35.114,326,329,19.983,26.870,1.409,0.710,0.834
43,64,255,41.213,0.473,16.125,155,319,29.745,7.234,2.856,0.350,0.703
44,66,255,33.456,0.741,12.207,542,314,124.992,8.497,1.324,0.755,0.835
45,893,255,144.853,0.535,46.400,359,319,142.883,31.734,1.540,0.649,0.801
46,80,255,43.941,0.521,14.866,517,328,42.274,8.944,1.855,0.539,0.758
47,59,255,37.698,0.522,13.153,141,319,171.254,7.649,2.015,0.496,0.742
48,118,255,47.113,0.668,16.763,126,320,162.646,11.000,1.425,0.702,0.825
49,76,255,46.770,0.437,16.155,420,322,111.801,8.974,2.023,0.494,0.738
